Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
16_2023;Expresso   J  M;4;CFAREM;CFAREM;BRASIL;35;19,3;13:20;21/JUL/2023;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;AVARIA DE MÁQUINAS;-2,13333333;-54,72166667;0;0;0;0 0 1 .1 4 2 .4 6 6   -4;AÇO;
17_2023;SEM   NOME;4;CPSTNA;CPSTNA;BRASIL;NÃO INSCRITA;A SER APURADO;20:00;23/JUL/2023;BARCO;INTERIOR;PASSAGEIROS E CARGA;MOTOR;NAUFRÁGIO;-0,18333333;-51,08305556;1;0;0;N Ã O  IN S C R IT A;MADEIRA;NÃO POSSUI
30-A/2023;SEM   NOME;8;CPSANT;CPSANT;BRASIL;0;A SER APURADO;14:40;16/JUL/2022;MOTO-AQUÁTICA ;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO ;-23,96666667;-46,39305556;0;1;0;N Ã O  IN S C R IT A;FIBRA;
29-A/2023;UNITY   NORTH;8;CPSANT;CPSANT;BAHAMAS;22,385;180;3:00;11/JUL/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;-3,35000000;-2,42166667;0;0;0;S O L A S  - IM O   9 6 8 7 1 3 6;AÇO;
2_2023;Ana  Maria;5;DLURUG;DLURUG;BRASIL;0;5,7;22:09;05/AGO/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-5,75000000;-57,11000000;0;0;0;4 4 1 8 8 9 8 9 1 3;FIBRA;
31-A/2023;SEVERO;8;CPSANT;CPSANT;BRASIL;3,7;9,5;13:50;16/JUL/2023;BOTE;INTERIOR;PASSAGEIROS;MOTOR;EXPOR A RISCO;-23,93333333;-46,30916667;0;0;0;4 0 1 0 1 2 5 7 3 0;MADEIRA;NÃO POSSUI
32-A/2023;CARIOQUINHA    I;8;CPSANT;CPSANT;BRASIL;3,4;9,8;15:30;23/JUL/2023;CHATA;INTERIOR;PASSAGEIROS;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-23,93333333;-23,94027778;0;1;0;4 0 1 0 1 4 3 7 3 8;MADEIRA;NÃO POSSUI
33-A/2023;LORENA;8;CPSANT;CPSANT;BRASIL;0,9;6;10:00;26/JUL/2023;BOTE;INTERIOR;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-23,06666667;-47,84083333;1;0;0;4 0 3 9 1 5 0 8 8 1;FIBRA;
34-A/2023;FAME;8;CPSANT;CPSANT;ILHAS MARSHALL;40,03;225;12:30;26/JUL/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;AVARIA NO CASCO;-23,06666667;-47,84083333;0;0;0;S O L A S  -IM O;AÇO;
9_2023;MJR  -  JUNINHO   BOY;8;CPFTPR;CPFTPR;BRASIL;0;3,36;12:30;06/AGO/2023;MOTO-AQUÁTICA ;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-22,70000000;-47,26666667;0;2;0;4 0 1 M 2 0 1 2 0 2 1 9 7 1;FIBRA;
