Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO;POLUIÇÃO
36_2022;Bertolini LVI -  TBL M 009 e outras;4;CPBLEM;CPBLEM;BRASIL;295;26;20:30;19/ABR/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ENCALHE;-1,98638889;-48,51138889;0;0;0;230107737;AÇO;;
13_2022;ARRAIAL BOAT;1;DLCABO;DLCABO;BRASIL;41;18,20;5:00;25/AGO/2022;ESCUNA;INTERIOR;PASSAGEIROS;MOTOR;NAUFRÁGIO;-22,97416667;-42,01555556;0;0;0;3840086884;MADEIRA;NÃO POSSUI;
14_2022;ENYGMA;1;DLANGR;DLANGR;BRASIL;41;17,7;16:30;24/AGO/2022;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,00305556;-44,30055556;0;0;0;4010813776;FIBRA;27/09/2022;
22_2022;SAKIZAYA YOUTH;1;CPVITO;CPVITO;PANAMÁ;43,804;225;7:20;23/AGO/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-20,38916667;-40,21194444;0;1;0;SOLAS-IMO 9913028;AÇO;;
006_2022;SEM NOME;9;CFINGA;CFINGA;BRASIL;NÃO INSCRITA;A SER APURADO;14:45;22/AGO/2022;FLUTUANTE;INTERIOR;SEM  ATIVIDADE DEFINIDA;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-4,26555556;-69,52083333;1;0;0;NÃO INSCRITA;MADEIRA;;
_2022;FRADE;1;CPMCAE;CPMCAE;BAHAMAS;132,361;337;10:00;15/AGO/2022;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;EXPOR A RISCO;-21,88583333;-39,85805556;0;0;0;381E005798;AÇO;;
31_2022;CAMPOS CONTENDER - C VENDAVAL;1;CPMCAE;AGSJBA;BRASIL;2,554;74,52;5:50;24/AGO/2022;SUPPLY;CABOTAGEM;CARGA;MOTOR;ABALROAMENTO;-21,88777778;-39,87222222;0;0;0;4430138389;AÇO;;
30_2022;TS DESEJADO - TS 6;1;CPMCAE;AGSJBA;BRASIL;244;29,5;7:00;24/AGO/2022;EMPURRADOR COM BALSA (COMBOIO);CABOTAGEM;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE CARGA E/ OU EQUIPAMENTO NA ÁGUA;;;0;0;0;3813901068;AÇO;;
13_2022;PPS  LUCK;5;DELUNA;DELUNA;SINGAPURA;55,429;189,9;12:30;21/AGO/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;EXPOR A RISCO;-28,38527778;-48,65083333;0;0;0;SOLAS-IMO 9407524;AÇO;;
37_2022;MAGIC STRIKER  - RIO PORT II;1;CPRIOJ;CPRIOJ;ILHA DE MAN;33,044;189,9;23:00;23/AGO/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ABALROAMENTO;-22,80138889;-43,13666667;0;0;0;SOLAS-IMO 9493664;AÇO;;
