Nº DE IAFN;NOME;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG EM DEC;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
1_2021;REAL NÁUTICA;CPFBRA;CPFBRA;BRASIL;4;8,82;11:55:00;19/jun/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;VARAÇÃO;-15,78972222;-47,82277778;0;0;5210237494;FIBRA;
24_2021;MERCURY;CPVITO;CPVITO;PANAMÁ;172,497;339,98;12:00:00;20/jun/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;COLISÃO;-20,28833333;-40,24833333;0;0;SOLAS-IMO 9845142;AÇO;
8_2021;OPEN SEA - PRINCESS ALE II;CPFPOL;CPFPOL;BRASIL;30;14;09:09:00;15/jun/21;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-27,60722222;-48,55138889;0;0;4010745649;FIBRA;
25_2021;PESCADOR  V - RAIUGA;CPNAUS;CPNAUS;BRASIL;37;22,8;20:10:00;18/jun/21;BARCO;INTERIOR;PESCA;MOTOR;ABALROAMENTO;;0;0;0;001.021701-1;MADEIRA;NÃO POSSUI
02_2021;LARA;CPFBRA;CPFBRA;BRASIL;3,24;7,35;14:00:00;24/jun/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-15,82305556;-47,87166667;0;0;4019907072;FIBRA;
32_2021;Gabriela IV;CPBLEM;CPBLEM;BRASIL;749;49,95;21:00:00;19/jun/21;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-2,34916667;-52,08194444;0;0;210993731;AÇO;
25_2021;INTREPID;CPVITO;CPVITO;MALTA;30,046;189,99;04:00:00;24/jun/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;QUEDA DE PESSOA ABORDO;-20,30222222;-40,00083333;0;0;SOLAS-IMO 9324629;AÇO;
27_2021;PARDELA;CPMCAE;CPMCAE;BRASIL;3,449;76;A SER APURADO;A SER APURADO;SUPPLY;APOIO-MARITIMO;CARGA;MOTOR;ACIDENTE DE MERGULHO;-21,99277778;-39,73388889;0;0;381E010848;AÇO;
10_2021;A SER APURADO;CPLUIZ;CPLUIZ;BRASIL;A SER APURADO;A SER APURADO;09:00:00;19/jun/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;;;0;0;A SER APURADO;FIBRA;
05_2021;LC STOP II;CPFTPR;CPFTPR;BRASIL;MIÚDA;4,9;08:00:00;21/jun/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA  DA EMBARCAÇÃO;-21,18638889;-51,56277778;0;0;961M2012003341;FIBRA;
14_2021;PUGET SOUND - KEMPTON;CPGRAN;CPGRAN;HONG KONG;19,831;175,53;07:39:00;24/jun/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;ABALROAMENTO;-32,02861111;-52,03333333;0;0;SOLAS-IMO 9335874;AÇO;
31_2021;SEM NOME;CPSTNA;CPSTNA;BRASIL;A SER APURADO;A SER APURADO;09:00:00;15/jun/21;CANOA;INTERIOR;SEM ATIVIDADE DEFENIDA;MOTOR;EMBORCAMENTO;0,03722222;-50,82722222;0;0;A SER APURADO;A SER APURADO;
20_2021;FILHOS DO VENTO;CPRIOJ;CPRIOJ;BRASIL;A SER APURADO;13;09:32:00;23/jun/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-24,4525;-42,68555556;0;0;A SER APURADO;MADEIRA;NÃO POSSUI
28_2021;EXAGERADO;CPMCAE;CPMCAE;BRASIL;A SER APURADO;29,5;19:40:00;07/mai/21;REBOCADOR;APOIO-MARITIMO;CARGA;MOTOR;COLISÃO;;;0;0;3813881113;AÇO;
05_2021;BARTOLOMEU DIAS;DELUNA;DELUNA;BRASIL;47,799;242;20:10:00;26/jun/21;NM  PORTA CONTENTOR;CABOTAGEM;CARGA;MOTOR;ENCALHE;-28,22194444;-48,66305556;0;0;SOLAS-IMO0011441755;AÇO;
