Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA;HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
03_2020;AGNUS DEI;1;CFBELZ;CFBELZ;BRASIL;3,2;9,72;08/MAR/2020;12:30;LANCHA;LONGO-CURSO;ESPORTE E RECREIO;MOTOR;INCÊNDIO;;;1;0;0;4030221181;FIBRA;
07_2020;BRUMA SECA;1;DLRUCA;DLRUCA;BRASIL;28;14,10;09/MAR/2020;1:00;ESCUNA;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;-23,05722222;-44,16916667;0;0;0;3840088909;MADEIRA;
8_2020;HERUN CHINA;1;DLRUCA;DLRUCA;HONG KONG;94385;292;11/MAR/2020;10:35;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;-23,0125;-44,03333333;0;0;0;SOLAS-IMO9715476;AÇO;
9_2020;A SER APURADO;1;CPVITO;CPVITO;A SER APURADA;A SER APURADO;A SER APURADO;07MAR/2020;12:00;A SER APURADO;A SER APURADA;A SER APURADO;A SER APURADO;ACIDENTE DE MERGULHO;;;0;1;0;A SER APURADO;A SER APURADO;
5_2020;BRANAVE VI - PORTO DE SAO PEDRO;5;CPGRAN;CPGRAN;BRASIL;1750;85,25;01/MAR/2020;20:40;NM GRANELEIRO;INTERIOR;CARGA;MOTOR;ENCALHE;-31,71055556;-51,96666667;0;0;0;4620165026;AÇO;
10_2020;GREEN MOUNTAIN II;1;DLANGR;DLANGR;BRASIL;A SER APURADO;16,48;A SER APURADO;A SER APURADO;LANCHA;LONGO-CURSO;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,59027778;-44,50583333;0;0;0;3810506451;FIBRA;
14_2020;KING RICE;4;CPLUIZ;CPLUIZ;PANAMÁ;17019;A SER APURADO;13/MAR/2020;6:50;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;;;0;0;0;SOLAS-IMO9633290;AÇO;
16-A_2020;ROSCO GINKGO;8;CPSANT;CPSANT;HONG KONG;40042;225;03/MARÇO/20;13:20;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM ESCADA DE PORTALÓ;-23,93388889;-46,31527778;0;1;0;SOLAS-IMO 9330898;AÇO;
03_2020;MASTER GRAOS;6;CFCUIA;CFCUIA;BRASIL;2;7;21/MAR/2020;0:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-14,96916667;-55,73277778;0;0;0;4830336226;FIBRA;
16_2020;JUKINHA;2;CPSALV;CPSALV;BRASIL;7,4;10,85;15/MAR/2020;17:14;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-12,89055556;-38,52222222;0;0;0;2818899753;FIBRA;
17_2020;SINGAPORE SPIRIT;2;CPSALV;CPSALV;ILHAS MASHALL;35259;171,59;15/MAR/2020;17:25;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM ESPAÇOS CONFINADOS;-12,19194444;-35,65555556;1;0;0;SOLAS-IMO 8246308;AÇO;
10_2020;MISS ALICE;1;CPVITO;CPVITO;BRASIL;4;7,9;14/MAR/2020;11:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-20,74138889;-40,31000000;0;0;0;2810176906;FIBRA;
01_2020;Shark Rio;2;DLSEGU;DLSEGU;BRASIL;MIUDA;4,89;15/MAR/2020;18:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-16,3;-38,76666667;0;0;0;381M2001054021;FIBRA;
10_2020;SEA FIRE I - SEA FIRE II - SEA FIRE III;1;DLCABO;DLCABO;BRASIL;2,12;6,9;01/JAN/2020;21:15;BALSA;INTERIOR;CARGA;MOTOR;INCÊNDIO;-22,87722222;-42,31666667;0;0;0;3813901653;AÇO;
6_2020;IARA I;3;CPNATL;CPNATL;BRASIL;1;6,39;10/MAR/2020;14:45;BALSA;INTERIOR;PASSAGEIRO E CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;-6,285555556;-35,03333333;0;0;0;1810053412;MADEIRA;NÃO POSSUI
07_2020;ACQUA II;5;CPFPOL;CPFPOL;BRASIL;9;10,94;14/MAR/2020;23:45;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO;-27,64555556;-48,57027778;0;0;0;4410459805;FIBRA;
03_2020;NANDA I;2;DLHEUS;DLHEUS;BRASIL;6,20;10;09/MAR/2020;19:00;SAVEIRO;INTERIOR;PESCA;MOTOR;DESAPARECIMENTO DE EMBARCAÇÃO;;;1;0;1;2810217475;MADEIRA;NÃO POSSUI
07_2020;CIGANA;8;CPAGUA;CPAGUA;BRASIL;MIUDA;3,6;12/MAR/2020;18:45;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE CARGA E/OU EQUIPAMENTO NA ÁGUA;-25,83777778;-48,40750000;0;0;0;445M2002000015;FIBRA;
10_2020;MERCOSUL SUAPE;4;CFAREM;CFAREM;BRASIL;25888;210,54;28/FEV/2020;8:55;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;ENCALHE;-1,972222222;-53,33333333;0;0;0;SOLAS-IMO 9356141;AÇO;
18_2020;JOÃO DE SOLIS;2;CPSALV;CPSALV;LIBÉRIA;43628;230;15/MAR/2020;5:49;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;;;0;1;0;SOLAS-IMO 381E011127;AÇO;
2_2020;Antony  -  M B;8;DLPREP;DLPREP;BRASIL;MIUDA;3,37;15/MAR/2020;13:40;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;;;0;1;0;962M2011020478;FIBRA;
07_2020;ALISSON;8;CPFTPR;CPFTPR;BRASIL;MIUDA;5;14/MAR/2020;4:00;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-21,87361111;-48,89972222;1;0;0;405M2015014091;ALUMÍNIO;
04_2020;Z BOAT;5;DLSFSL;DLSFSL;BRASIL;6,5;9,70;17/FEV/2020;6:40;LANCHA;CABOTAGEM;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-26,25861111;-48,63916667;0;0;0;3410112898;FIBRA;
04_2020;TOÔ-V;9;CFINGA;CFINGA;BRASIL;1;07,10;10/MAR/2020;13:00;BOTE;INTERIOR;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;AVARIA DE MÁQUINAS;-4,366666667;-69,76944444;0;0;0;72229012;ALUMÍNIO;
03_2020;SEM NOME;9;CFINGA;CFINGA;BRASIL;NÃO INSCRITA;A SER APURADO;19/MAR/2020;20:21;CANOA;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-4,378333333;-69,81333333;0;0;1;NÃO INSCRITA;MADEIRA;NÃO POSSUI
04_2020;VENCEDOR;4;CPSTNA;CPSTNA;BRASIL;NÃO INSCRITA;11,35;16/MAR/2020;10:00;BARCO;INTERIOR;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;3,933333333;-51,77833333;0;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
17_2020;CELSIUS MUMBAI;1;CPRIOJ;CPRIOJ;ILHAS MASHALL;11571;145,5;21/MAR/2020;0:00;NM QUÍMICO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;-22,87277778;-43,20250000;0;0;0;SOLAS-IMO 9304332;AÇO;
11_2020;JOANA TOUR - VITORIA I;1;DLCABO;DLCABO;BRASIL;8,30;8,5;27/JAN/2020;12:00;LANCHA;INTERIOR;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;ABALROAMENTO;-22,97027778;-42,01666667;0;0;0;3850003540;MADEIRA;NÃO POSSUI
07_2020;LENILDO MACHADO;1;CPMCAE;CPMCAE;BRASIL;10;11,6;01/MAR/2020;17:00;BARCO;INTERIOR;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;0;0;1;3877050824;MADEIRA;NÃO POSSUI
11_2020;ALPHA STAR;1;DLANGR;DLANGR;PANAMÁ;27065;A SER APURADO;19/MAR/2020;19:05;PLATAFORMA;LONGO-CURSO;CARGA;MOTOR;INCÊNDIO;-23,09472222;-44,27472222;0;0;0;381E007804;AÇO;
11_2020;JUMBO VISION;1;CPVITO;CPVITO;HOLANDA;7966;110,49;24/MAR/2020;8:40;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-20,39055556;-40,24444444;0;1;0;SOLAS- IMO 9153642;AÇO;
04_2020;BARAO I;3;CPCEIO;AGNEDO;BRASIL;7,5;10,82;13/MAR/2020;20:30;BOTE;CABOTAGEM;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-10,40611111;-36,43722222;1;0;0;2410155871;MADEIRA;NÃO POSSUI
17-A_2020;ROCK AND ROLL;8;CPSANT;CPSANT;BRASIL;8,87;11,95;17MAR/2020;1:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-23,80805556;-45,83111111;0;0;0;4039128575;FIBRA;
04_2020;PODEROSA II;1;CFBELZ;CFBELZ;BRASIL;0;6,45;15/MAR/2020;9:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;;;1;0;0;3822934101;FIBRA;
12_2020;CARIBE TOUR;1;DLCABO;DLCABO;BRASIL;39;16;26/MAR/2020;5:30;SAVEIRO;INTERIOR;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;INCÊNDIO;-22,97138889;-42,01666667;0;0;0;3840174104;MADEIRA;NÃO POSSUI
02_2020;M.V. ARGO B;2;CPCAJU;CPCAJU;ILHAS MASHALL;22402;179,9;25/MAR/2020;6:43;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;MORTE DE PESSOA;-10,86944444;-36,92500000;1;0;0;SOLAS-IMO 9459371;AÇO;
09_2020;SINOGLORY;1;DLRUCA;DLRUCA;KOREA;148257;321,95;21/MAR/2020;8:00;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ARRIBADA;-23,15833333;-44,02222222;0;0;0;SOLAS-IMO 9041198;AÇO;
15_2020;KING RICE;4;CPLUIZ;CPLUIZ;PANAMÁ;17019;A SER APURADO;28/MAR/2020;4:33;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;;;0;0;0;SOLAS-IMO 9633290;AÇO;
19_2020;ANDRÉ MAR - FERRARI;2;CPSALV;CPSALV;BRASIL;6;7,4;08/MAR/2020;6:40;SAVEIRO;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-13,02166667;-38,64833333;0;0;0;2818923352;FIBRA;
16_2020;M A R13;4;CPLUIZ;CPLUIZ;BRASIL;12,8;10,8;27/MAR2020;21:45;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;;;0;0;0;1210105772;FIBRA;
18_2020;JET BARRA XI;1;CPRIOJ;CPRIOJ;BRASIL;0;3,36;28/MAR/2020;14:00;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-23,01138889;-43,29583333;0;2;0;A SER APURADO;FIBRA;
19_2020;CRYSTAL II;1;CPRIOJ;CPRIOJ;BRASIL;0;3,37;29/MAR/2020;14:00;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-23,01527778;-43,29722222;0;1;0;221M2012000135;FIBRA;
08_2020;Vanusa;8;CPFTPR;CPFTPR;BRASIL;MIUDA;5,83;27/MAR/2020;12:30;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-21,93916667;-48,90000000;1;0;0;405M2006006632;ALUMÍNIO;
10_2020;WELD - PRINCESA;1;DLRUCA;DLRUCA;BRASIL;0;3,54;27/MAR/2020;14:40;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-24,11666667;-43,91277778;0;0;0;381M2012001997;FIBRA;
11_2020;SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;22/MAR/2020;21:00;CANOA;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-2,378055556;-54,68166667;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
05_2020;MOUNT OWEN;5;CPGRAN;CPGRAN;HONG KONG;17018;170;A SER APURADO;A SER APURADO;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ENCALHE;-31,68555556;-51,93333333;0;0;0;SOLAS-IMO 9444924;AÇO;
18-A_2020;ADRIANO PEREIRA;8;CPSANT;CPSANT;BRASIL;5,9;5,9;30/MAR/2020;7:00;BOTE;INTERIOR;PESCA;MOTOR;COLISÃO;;;0;0;0;401M2014017001;ALUMÍNIO;
16_2020;CEL VALDIMIRO SALES - CECI SALES - GILDA SALES;4;CPBLEM;CPBLEM;BRASIL;56;18,33;19/MAR/2020;3:40;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;MORTE DE PESSOA;;;1;0;0;11425911;AÇO;
05_2020;Bar Maré Mar II;3;CPCEIO;CPCEIO;BRASIL;19;11,26;12/JAN/2020;9:00;OUTRAS EMBARCAÇÕES;INTERIOR;PASSAGEIRO;MOTOR;EXPOR A RISCO;-9,850277778;-35,90277778;0;0;0;2412232571;FIBRA;
05_2020;A SER APURADO;8;CPFOZU;CPFOZU;A SER APURADA;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;INTERIOR;A SER APURADO;A SER APURADO;NAUFRÁGIO;-24,89361111;-54,33944444;1;0;0;A SER APURADO;A SER APURADO;NÃO POSSUI
21_2020;STELLA;2;CPSALV;AGBJLP;BRASIL;18;24,9;04/ABR/2020;16:45;BALSA;INTERIOR;PASSAGEIRO E CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;-11,08055556;-43,12138889;1;0;0;9420032671;AÇO;
08_2020;Papa Tudo;1;CPMCAE;CPMCAE;BRASIL;7,9;10;07/ABR/2020;23:00;BARCO;CABOTAGEM;PESCA;MOTOR;AVARIA DE MÁQUINAS;-22,39972222;-41,69444444;0;0;0;3850011500;MADEIRA;NÃO POSSUI
13_2020;CITY XLVI - CITY IV -  CITY XI - CITY XXIII;4;CFAREM;CFAREM;BRASIL;67;15;20/ABR/2020;16:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ENCALHE;-2,173333333;-54,99333333;0;0;0;10143246;AÇO;
12_2020;RONDONOPOLIS - DUQUINHA VII  - A SER APU;9;CFPVEL;CFPVEL;BRASIL;298;28,30;09/ABR/2020;18:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-8,737777778;-63,92305556;0;0;0;10200916;AÇO;
12_2020;ZATTO;1;CPVITO;CPVITO;BRASIL;48;18,10;A SER APURADO;A SER APURADO;REBOCADOR;CABOTAGEM;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-20,32833333;-40,30722222;0;0;0;3877052274;AÇO;
7_2020;BALTIC COUGAR;3;CPNATL;AGBRAN;ILHAS MASHALL;31177;189,99;11/ABR/2020;18:40;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;-4,817777778;-37,04444444;0;0;0;SOLAS-IMO  9387358;AÇO;
17_2020;AMAZONAS II - LENON KAIO;4;CPBLEM;CPBLEM;BRASIL;1084;60;22/MAR/2020;13:00;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ABALROAMENTO;-1,691666667;-50,48388889;0;0;0;211017914;AÇO;
13_2020;BERTOLINI XXXII - BERTOLINI CCCXLI - BERTOLINI CCCLXXXVII - PORTO MADEIRA I;9;CFPVEL;CFPVEL;BRASIL;86;19;11/ABR/2020;1:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-8,707777778;-63,91972222;0;0;0;10210431;AÇO;
19-A_2020;SYMI I;8;CPSANT;CPSANT;LIBÉRIA;94930;299,9;08/ABR/2020;21:50;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;RUPTURA DE CABOS;0;;0;1;0;SOLAS-IMO 9695028;AÇO;
18_2020;SEM NOME;4;CPLUIZ;CPLUIZ;BRASIL;NÃO INSCRITA;A SER APURADO;07/MAR/2020;9:00;CANOA;INTERIOR;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-2,767222222;-44,06666667;0;0;1;NÃO INSCRITA;MADEIRA;NÃO POSSUI
01_2020;California;1;DLPIRA;DLPIRA;BRASIL;290;78,48;15/ABR/2020;23:00;BALSA;INTERIOR;PASSAGEIRO E CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;-15,2725;-43,05388889;0;0;0;210186461;AÇO;
07_2020;GUAIBA;5;CPGRAN;CPGRAN;BRASIL;2015;89;A SER APURADO;A SER APURADO;NM PETROLEIRO;INTERIOR;CARGA;MOTOR;ENCALHE;-31,68555556;-51,93333333;0;0;0;4620197556;AÇO;
11_2020;MULEKÃO DE JAGUANUM;1;DLRUCA;DLRUCA;BRASIL;4;7,53;09/ABR/2020;9:00;BOTE;INTERIOR;PASSAGEIRO E CARGA;MOTOR;NAUFRÁGIO;-23,05583333;-43,99055556;0;0;0;3830644566;FIBRA;
5_2020;MAX;5;DLSFSL;DLSFSL;BRASIL;0,10;10,88;15/ABR/2020;6:30;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO;-26,2475;-48,64527778;0;0;0;4420206136;AÇO;
04_2020;GALILEU - VELOSTER 21;8;DLTIAO;DLTIAO;BRASIL;0;3,34;28/MAR/2020;13:50;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-23,18722222;-46,01666667;1;0;1;401M20130112016;FIBRA;
17_2020;PANTERA;4;CPLUIZ;CPLUIZ;BRASIL;NÃO INSCRITA;6;21/MAR/2020;1:00;CANOA;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;;;5;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
16_2020;ADALBERTO LEITE - AMANDA PAULA -  A SER APURADO;9;CPNAUS;CPNAUS;BRASIL;54;20,85;23/MAR/2020;11:30;BARCO;INTERIOR;CARGA;MOTOR;ABALROAMENTO;;-59,86638889;0;0;0;10106685;MADEIRA;NÃO POSSUI
15_2020;SEM NOME;9;CPNAUS;CPNAUS;BRASIL;NÃO INSCRITA;A SER APURADO;10/JAN/2020;18:00;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-3,121944444;-60,04777778;1;0;0;NÃO INSCRITA;AÇO;
02_2020;INTERPRISE;5;CFALEG;CFALEG;BRASIL;2,9;7;01/MAR/2020;20:00;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-29,98666667;-51,22027778;1;0;0;4620245313;FIBRA;
13_2020;SKIPER III;1;DLCABO;DLCABO;BRASIL;187;BARCO;28/ABR/2020;14:00;BARCO;CABOTAGEM;PESCA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-22,89833333;-41,98333333;0;1;0;3813868079;AÇO;
14_2020;SEM NOME;9;CFPVEL;CFPVEL;BRASIL;A SER APURADO;A SER APURADO;18/ABR/2020;13:00;LANCHA;INTERIOR;A SER APURADO;MOTOR;EMBORCAMENTO;-11,48666667;-61,38916667;1;0;0;A SER APURADO;ALUMÍNIO;
15_2020;BERTOLINI CXXVII - OUTRAS;9;CFPVEL;CFPVEL;BRASIL;313;30,55;11/ABR/2020;19:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-6,988333333;-62,70666667;0;0;1;023-092979-6;AÇO;
02_2020;AROEIRA II;7;CFATOC;CFATOC;BRASIL;0;5;17/ABR/2020;15:20;CANOA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-10,26083333;-48,39722222;0;0;0;524M2009002339;ALUMÍNIO;
03_2020;SEM NOME;7;CFATOC;CFATOC;BRASIL;0;6;20/ABR/2020;14:00;CANOA;INTERIOR;A SER APURADO;MOTOR;NAUFRÁGIO;;;1;0;0;A SER APURADO;ALUMÍNIO;
20-A_2020;JOÃO DE SOLIS;8;CPSANT;CPSANT;BRASIL;43628;230;16ABR/2020;18:00;NM PORTA CONTENTOR;CABOTAGEM;CARGA;MOTOR;COLISÃO;-23,92027778;-46,68666667;0;0;0;SOLAS-IMO 9786762;AÇO;
22_2020;JACA;2;CPSALV;CPSALV;BRASIL;2,10;6;18/ABR/2020;7:00;SAVEIRO;INTERIOR;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-12,99972222;-38,62138889;0;0;0;2810201862;MADEIRA;NÃO POSSUI
10_2020;LIMA;8;CPFTPR;CPFTPR;BRASIL;0;5,85;18/ABR/2020;21:00;BOTE;INTERIOR;ESPORTE E RECREIO;REMO;QUEDA DE PESSOAS NA ÁGUA;-21,40277778;-49,71777778;1;0;0;405M2005005032;ALUMÍNIO;
09_2020;PIRANHEIROS;8;CPFTPR;CPFTPR;BRASIL;0;4,85;21/ABR/2020;3:00;BOTE;INTERIOR;ESPORTE E RECREIO;REMO;QUEDA DE PESSOAS NA ÁGUA;-22,94944444;-49,96750000;1;0;0;402M2013002211;ALUMÍNIO;
19_2020;HG;4;CPLUIZ;CPLUIZ;BRASIL;0;A SER APURADO;19/MAR/2020;9:00;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;0;121M2014000371;FIBRA;
20_2020;FAME;4;CPLUIZ;CPLUIZ;ILHAS MASHALL;40030;225;20/MAR/2020;16:30;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;MORTE DE PESSOA;-2,389166667;-44,23777778;1;0;0;SOLAS-IMO 9287132;AÇO;
20_2020;CARAMETADE;1;CPRIOJ;CPRIOJ;BRASIL;0;5;18/ABR/2020;14:58;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;DEFICIÊNCIA DE ABASTECIMENTO;-22,97361111;-42,97555556;0;0;0;381M2001070786;FIBRA;
03_2020;SEM NOME;6;CPUMBA;CPUMBA;BRASIL;NÃO INSCRITA;A SER APURADO;19/ABR/2020;21:30;CANOA;INTERIOR;A SER APURADO;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;;;2;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
8_2020;BAIANINHO;5;CPFPOL;CPFPOL;BRASIL;0;4,8;19/ABR/2020;15:55;BOTE;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-26,935;-48,54166667;0;0;1;445M2019001399;MADEIRA;NÃO POSSUI
4_2020;SEM NOME;4;CPPARN;CPPARN;BRASIL;NÃO INSCRITA;A SER APURADO;20/ABR/2020;12:00;CANOA;INTERIOR;PESCA;MOTOR;AVARIA DE MÁQUINAS;-2,851388889;-41,64611111;0;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
23_2020;SHANGRILA III;2;CPSALV;CPSALV;BRASIL;43,5;17,5;22/ABR/2020;16:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;VARAÇÃO;-12,98138889;-38,51972222;0;0;0;4211492268;FIBRA;
25_2020;MESTRE DO MAR;5;DCPJAI;DCPJAI;BRASIL;A SER APURADO;5,9;02/ABR/2020;12:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPOR A RISCO;-26,9725;-48,63222222;0;0;0;443M2017004862;ALUMÍNIO;
24_2020;AGUIA BRANCA;5;DCPJAI;DCPJAI;BRASIL;A SER APURADO;3,85;02/ABR/2020;12:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPOR A RISCO;-26,99027778;-48,61527778;0;0;0;443M2006000832;FIBRA;
21_2020;GALÁPAGOS 1;4;CPLUIZ;CPLUIZ;BRASIL;11;11;A SER APURADO;A SER APURADO;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MISTA;DERIVA DA EMBARCAÇÃO;;;0;0;0;4620816957;FIBRA;
19_2020;KARINA;9;CPNAUS;CPNAUS;BRASIL;48;24;24/ABR/2020;20:20;BALSA;INTERIOR;CARGA;MOTOR;NAUFRÁGIO;-3,148611111;-59,00000000;0;0;0;270011544;AÇO;
18_2020;ÁGUIA DE FOGO;9;CPNAUS;AGTINS;BRASIL;26,6;15;15/ABR/2020;6:00;BALSA;INTERIOR;CARGA;MOTOR;NAUFRÁGIO;-2,316388889;-56,85000000;0;0;0;001-020641-8;AÇO;
17_2020;PÉROLA DO PIQUIÁ;9;CPNAUS;AGITAC;BRASIL;NÃO INSCRITA;A SER APURADO;15/MAR/2020;11:00;FLUTUANTE;INTERIOR;SEM ATIVIDADE DEFINIDA;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-2,989444444;-58,45138889;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
05_2020;RENASCER;8;DLTIAO;DLTIAO;BRASIL;0;9;25/ABR/2020;15:00;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,70805556;-45,40611111;0;0;0;4030150641;MADEIRA;NÃO POSSUI
21_2020;RIO PORT I;1;CPRIOJ;CPRIOJ;BRASIL;3660;78,8;27/ABR/2020;19:20;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;NAUFRÁGIO;-22,87611111;-43,16861111;0;0;0;3810516406;AÇO;
03_2020;SEM NOME;8;DLGUAI;DLGUAI;BRASIL;NÃO INSCRITA;5;26/ABR/2020;2:30;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;-53,24944444;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
13_2020;SSV VICTORIA;1;CPVITO;CPVITO;BRASIL;41160;108,8;29/ABR/2020;5:30;PLATAFORMA;APOIO MARITIMO;SEM ATIVIDADE DEFINIDA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-19,84583333;-40,06027778;0;1;0;381E006271;AÇO;
22_2020;BALSA 123;4;CPLUIZ;AGIMPE;BRASIL;176;40;22/ABR/2020;2:20;BALSA;INTERIOR;PASSAGEIRO E CARGA;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-6,9675;-49,07500000;1;0;0;1270016717;AÇO;
03_2020;ALL IN;7;CPFBRA;CPFBRA;BRASIL;8,41;9,8;26/ABR/2020;8:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-15,80472222;-47,82972222;0;2;0;5210249450;FIBRA;
