Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA;HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
03_2020;SÃO BARTOLOMEU II;4;CFAREM;CFAREM;BRASIL;400;39,35;23/JAN/2020;4:40;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-2,001666667;-2,00444444;1;0;0;230911021;AÇO;
08_2020;AGUA BRANCA;9;CPNAUS;CPNAUS;BRASIL;261;33,59;21/JAN/2020;20:00;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-3,148888889;-60,01000000;1;0;0;11436247;AÇO;
03_2020;SEM NOME;3;CPCEIO;CPCEIO;BRASIL;NÃO INSCRITA;A SER APURADO;19/JAN/2020;13:00;CANOA;INTERIOR;A SER APURADO;A SER APURADO;EMBORCAMENTO;;;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
2-A_2020;GEOPOTES 15;8;CPSANT;CPSANT;HOLANDA;10118;133,54;13JAN/2020;23:59;DRAGA;LONGO-CURSO;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;COLISÃO;-23,99333333;-46,32500000;0;0;0;8414790;AÇO;
17_2020;MISTRAL II;5;DCPJAI;DCPJAI;BRASIL;9,2;10,54;06/FEV/2020;19:30;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO;-26,91166667;-48,65166667;0;0;0;3810452696;FIBRA;
02_2020;SEM NOME;4;CPSTNA;CPSTNA;BRASIL;NÃO INSCRITA;A SER APURADO;11/FEV/2020;9:00;CANOA;INTERIOR;SEM ATIVIDADE DEFINIDA;A SER APURADO;NAUFRÁGIO;-0,118055556;-51,28305556;1;0;0;NÃO INSCRITA;MADEIRA;
;Barbosa -  CNA 151- CNA 153 - CNA 158 - A SER APURDO;9;CFPVEL;CFPVEL;BRASIL;A SER APURADO;A SER APURADO;26/JAN/2020;17:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-5,574722222;-60,92750000;0;0;0;A SER APURADO;A SER APURADO;
01_2020;MEU PARCEIRO;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;11,27;09/JAN/2020;7:00;BARCO;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-1,337777778;-56,09277778;0;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
08_2020;COMTE JESUS - NALS VII;4;CPBLEM;CPBLEM;BRASIL;129;18;18/JAN/2020;1:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;DERIVA DA EMBARCAÇÃO;1,659166667;-48,78638889;0;0;0;11440457;AÇO;
09_2020;JN-I - IDADE TUCURUI-II;4;CPBLEM;CPBLEM;BRASIL;20;13;26/JAN/2020;9:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;AVARIA DE GORVENO;-1,833333333;-49,83333333;0;0;0;50076752;AÇO;
3_2020;JC HONDA -SEM NOME;4;CPPARN;CPPARN;BRASIL;MIUDA;3,31;02/FEV/2020;13:00;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-4,774722222;-42,59555556;0;0;0;141M2014000015;FIBRA;
